DATE,CORESTICKM159SFRBATL,Imports_MMcf,NG_Spot_Price,DTWEXBGS,Plant_Liquids_Production_MMcf,Marketed_Production_MMcf,Dry_Natural_Gas_Production_MMcf,Gross_Withdrawals_MMcf,Cushing OK WTI Spot Price FOB $/bbl,Europe Brent Spot Price FOB $/bbl,East Region,Midwest Region,Mountain Region,Pacific Region,South Central Region,Salt,NonSalt,wind,pressure,tropicalstorm_force_diameter,hurricane_force_diameter
2010-01-01,1.170764,384586.0,5.88,92.895675,86910,1824143,1737233.0,2210163.0,79.07,77.19,769,900,195,268,985,159,826,,,,
2010-01-08,1.1579837538461537,384586.0,6.56,92.23824,86910,1824143,1737233.0,2210163.0,82.34,79.82,703,820,185,257,886,123,763,,,,
2010-01-15,1.1452035076923077,384586.0,5.68,91.67612,86910,1824143,1737233.0,2210163.0,80.06,78.31,642,750,176,246,793,91,702,,,,
2010-01-22,1.1324232615384615,384586.0,5.56,92.56085,86910,1824143,1737233.0,2210163.0,76.62,74.28,616,710,171,235,789,102,687,,,,
2010-01-29,1.1196430153846153,384586.0,5.47,93.3101,86910,1824143,1737233.0,2210163.0,73.94,71.88,582,661,164,221,779,108,671,,,,
2010-02-05,1.106862769230769,324124.0,5.47,93.90688,80179,1682869,1602690.0,2047815.0,74.57,72.54,523,604,157,211,719,95,624,,,,
2010-02-12,1.094082523076923,324124.0,5.55,93.9976,80179,1682869,1602690.0,2047815.0,73.88,70.85,471,552,148,197,658,85,573,,,,
2010-02-19,1.081302276923077,324124.0,5.41,93.7578,80179,1682869,1602690.0,2047815.0,78.25,75.8,425,502,141,193,592,71,521,,,,
2010-02-26,1.0685220307692307,324124.0,4.87,93.9474,80179,1682869,1602690.0,2047815.0,79.22,76.23,390,464,133,184,566,70,496,,,,
2010-03-05,1.0557417846153845,318769.0,4.74,93.38844,88833,1864519,1775686.0,2276546.0,80.19,77.86,349,433,129,182,535,63,472,,,,
2010-03-12,1.0429615384615385,318769.0,4.45,93.03924,88833,1864519,1775686.0,2276546.0,81.76,79.36,341,422,127,176,548,71,477,,,,
2010-03-19,1.0301812923076923,318769.0,4.23,92.75792,88833,1864519,1775686.0,2276546.0,81.44,79.05,334,419,126,179,567,80,487,,,,
2010-03-26,1.017401046153846,318769.0,4.01,93.41238,88833,1864519,1775686.0,2276546.0,80.65,78.38,336,410,126,185,581,89,492,,,,
2010-04-02,1.0046207999999999,298464.0,3.82,93.00582,86394,1813312,1726918.0,2190270.0,83.01,80.59,333,410,126,189,612,101,511,,,,
2010-04-09,0.9918405538461538,298464.0,4.0,92.66904,86394,1813312,1726918.0,2190270.0,85.66,83.88,358,429,126,193,649,112,537,,,,
2010-04-16,0.9790603076923077,298464.0,4.06,92.23396,86394,1813312,1726918.0,2190270.0,84.34,85.23,376,444,129,199,679,120,559,,,,
2010-04-23,0.9662800615384615,298464.0,3.99,92.62592,86394,1813312,1726918.0,2190270.0,82.9,84.61,397,462,134,209,710,126,584,,,,
2010-04-30,0.9534998153846154,298464.0,4.16,92.9687,86394,1813312,1726918.0,2190270.0,84.22,85.98,416,480,138,220,741,133,608,,,,
2010-05-07,0.9407195692307692,297801.0,3.94,94.40878,89880,1886476,1796596.0,2236507.0,80.24,82.5,444,506,142,230,770,138,632,,,,
2010-05-14,0.9279393230769231,297801.0,4.19,94.63466,89880,1886476,1796596.0,2236507.0,74.98,78.32,463,520,147,241,794,144,650,,,,
2010-05-21,0.9151590769230769,297801.0,4.26,96.26968,89880,1886476,1796596.0,2236507.0,69.14,72.17,491,546,154,253,824,149,675,,,,
2010-05-28,0.9023788307692308,297801.0,4.18,96.80944,89880,1886476,1796596.0,2236507.0,70.62,70.79,518,567,161,265,846,151,695,,,,
2010-06-04,0.8895985846153847,282260.0,4.44,96.714275,85878,1802492,1716613.0,2138770.0,72.91,72.71,545,593,165,279,874,158,716,,,,
2010-06-11,0.8768183384615384,282260.0,4.73,96.95772,85878,1802492,1716613.0,2138770.0,73.44,72.76,571,619,168,288,895,160,735,,,,
2010-06-18,0.8640380923076922,282260.0,5.1,95.57506,85878,1802492,1716613.0,2138770.0,76.7,76.22,596,645,173,299,912,161,751,,,,
