Month,U.S. Natural Gas Plant Liquids Production MMcf,U.S. Natural Gas Marketed Production MMcf,U.S. Dry Natural Gas Production MMcf,U.S. Natural Gas Gross Withdrawals MMcf
Feb 2024,275729,3339934,3064205,3713672
Jan 2024,269036,3474414,3205379,3866515
Dec 2023,291831,3592260,3300429,3993824
Nov 2023,291908,3468760,3176852,3840525
Oct 2023,301875,3536693,3234818,3908666
Sep 2023,291392,3426002,3134610,3761177
Aug 2023,293741,3533722,3239981,3849638
Jul 2023,289895,3494802,3204908,3827200
Jun 2023,277944,3375450,3097506,3719787
May 2023,289420,3499909,3210490,3869465
Apr 2023,282640,3362007,3079367,3729365
Mar 2023,285741,3474934,3189193,3858010
Feb 2023,247203,3102781,2855578,3455613
Jan 2023,269811,3428769,3158957,3819633
Dec 2022,262882,3370376,3107493,3754805
Nov 2022,259466,3326572,3067107,3712188
Oct 2022,268137,3437743,3169606,3813798
Sep 2022,259765,3330414,3070649,3669326
Aug 2022,264599,3392383,3127785,3730403
Jul 2022,263249,3375077,3111828,3735794
Jun 2022,252114,3232326,2980211,3564801
May 2022,259892,3332041,3072149,3695408
Apr 2022,249532,3199218,2949686,3568334
Mar 2022,256024,3282454,3026429,3662848
Feb 2022,227323,2914480,2687157,3266220
Jan 2022,252344,3235266,2982923,3628346
Dec 2021,249961,3323025,3073064,3719546
Nov 2021,239876,3188958,2949082,3564460
Oct 2021,245106,3258481,3013375,3612938
Sep 2021,233491,3104078,2870587,3440723
Aug 2021,239647,3185920,2946272,3534922
Jul 2021,238939,3176507,2937568,3508680
Jun 2021,229067,3045264,2816197,3389749
May 2021,237554,3158085,2920531,3524820
Apr 2021,230075,3058663,2828588,3428387
Mar 2021,235898,3136068,2900170,3509749
Feb 2021,195366,2597230,2401865,2938642
Jan 2021,233604,3105581,2871976,3504128
Dec 2020,231185,3117483,2886298,3516066
Nov 2020,223387,2998371,2774983,3371220
Oct 2020,223934,3004869,2780936,3381515
Sep 2020,218375,2957168,2738793,3274179
Aug 2020,225412,3027588,2802176,3368303
Jul 2020,226142,3026780,2800638,3386520
Jun 2020,215040,2927068,2712029,3220917
May 2020,219084,2942912,2723828,3290613
Apr 2020,225432,3076174,2850742,3375996
Mar 2020,239233,3192036,2952802,3579884
Feb 2020,223394,2992845,2769451,3366311
Jan 2020,239079,3257533,3018453,3598402
Dec 2019,226132,3234746,3008614,3622512
Nov 2019,219084,3133926,2914843,3509293
Oct 2019,222734,3186150,2963416,3551970
Sep 2019,213673,3056535,2842862,3396571
Aug 2019,219954,3146384,2926429,3448106
Jul 2019,214733,3071698,2856964,3395984
Jun 2019,206667,2956304,2749637,3299794
May 2019,212968,3046445,2833477,3424018
Apr 2019,204537,2925844,2721306,3315270
Mar 2019,210337,3008808,2798471,3383042
Feb 2019,189116,2705249,2516133,3056916
Jan 2019,207962,2974830,2766868,3376735
Dec 2018,201460,2975914,2774454,3391473
Nov 2018,195921,2894098,2698177,3259912
Oct 2018,198978,2939250,2740273,3314676
Sep 2018,190148,2808817,2618670,3153978
Aug 2018,193315,2855600,2662285,3206177
Jul 2018,189493,2799146,2609653,3138242
Jun 2018,179799,2655954,2476154,2972738
