Week of,Natural Gas Futures Contract 1 $/MMBTU
04/5/2024,1.82
03/29/2024,1.668
03/22/2024,1.698
03/15/2024,1.705
03/8/2024,1.885
03/1/2024,1.771
02/23/2024,1.671
02/16/2024,1.651
02/9/2024,1.964
02/2/2024,2.159
01/26/2024,2.559
01/19/2024,2.747
01/12/2024,3.124
01/5/2024,2.738
12/29/2023,2.56
12/22/2023,2.525
12/15/2023,2.392
12/8/2023,2.628
12/1/2023,2.784
11/24/2023,2.87
11/17/2023,3.103
11/10/2023,3.117
11/3/2023,3.482
10/27/2023,3.057
10/20/2023,3.02
10/13/2023,3.343
10/6/2023,3.051
09/29/2023,2.787
09/22/2023,2.711
09/15/2023,2.677
09/8/2023,2.569
09/1/2023,2.693
08/25/2023,2.55
08/18/2023,2.644
08/11/2023,2.799
08/4/2023,2.563
07/28/2023,2.642
07/21/2023,2.643
07/14/2023,2.623
07/7/2023,2.639
06/30/2023,2.731
06/23/2023,2.607
06/16/2023,2.423
06/9/2023,2.288
06/2/2023,2.231
05/26/2023,2.321
05/19/2023,2.459
05/12/2023,2.23
05/5/2023,2.188
04/28/2023,2.292
04/21/2023,2.269
04/14/2023,2.114
04/7/2023,2.092
03/31/2023,2.086
03/24/2023,2.222
03/17/2023,2.494
03/10/2023,2.557
03/3/2023,2.813
02/24/2023,2.253
02/17/2023,2.421
02/10/2023,2.476
02/3/2023,2.539
01/27/2023,3.165
01/20/2023,3.337
01/13/2023,3.667
01/6/2023,3.898
12/30/2022,4.756
12/23/2022,5.317
12/16/2022,6.704
12/9/2022,5.795
12/2/2022,6.779
11/25/2022,6.972
11/18/2022,6.168
11/11/2022,6.213
11/4/2022,6.142
10/28/2022,5.458
10/21/2022,5.505
10/14/2022,6.532
10/7/2022,6.791
09/30/2022,6.812
09/23/2022,7.433
09/16/2022,8.347
09/9/2022,7.975
09/2/2022,9.114
08/26/2022,9.375
08/19/2022,9.165
08/12/2022,8.253
08/5/2022,8.088
07/29/2022,8.554
07/22/2022,7.796
07/15/2022,6.579
07/8/2022,5.841
07/1/2022,6.141
06/24/2022,6.531
06/17/2022,7.525
06/10/2022,9.025
06/3/2022,8.462
05/27/2022,8.829
05/20/2022,8.204
05/13/2022,7.491
05/6/2022,8.134
04/29/2022,6.984
04/22/2022,7.085
04/15/2022,6.905
04/8/2022,6.082
04/1/2022,5.562
03/25/2022,5.258
03/18/2022,4.765
03/11/2022,4.648
03/4/2022,4.695
02/25/2022,4.54
02/18/2022,4.427
02/11/2022,4.078
02/4/2022,4.917
01/28/2022,4.652
01/21/2022,4.029
01/14/2022,4.343
01/7/2022,3.828
12/31/2021,3.886
12/24/2021,3.853
12/17/2021,3.76
12/10/2021,3.784
12/3/2021,4.373
11/26/2021,4.941
11/19/2021,4.995
11/12/2021,5.045
11/5/2021,5.526
10/29/2021,5.838
