Week of,Cushing OK Crude Oil Future Contract 1 $/bbl
04/5/2024,85.56
03/29/2024,82.02
03/22/2024,81.91
03/15/2024,79.5
03/8/2024,78.59
03/1/2024,78.64
02/23/2024,77.8
02/16/2024,77.73
02/9/2024,74.6
02/2/2024,75.31
01/26/2024,76
01/19/2024,73.11
01/12/2024,71.82
01/5/2024,72.27
12/29/2023,73.28
12/22/2023,73.52
12/15/2023,70.48
12/8/2023,71.06
12/1/2023,75.83
11/24/2023,77
11/17/2023,76.39
11/10/2023,77.29
11/3/2023,81.35
10/27/2023,84.67
10/20/2023,87.95
10/13/2023,85.29
10/6/2023,85.47
09/29/2023,91.25
09/22/2023,90.52
09/15/2023,89.12
09/8/2023,87.15
09/1/2023,82.41
08/25/2023,79.77
08/18/2023,80.9
08/11/2023,83.05
08/4/2023,81.41
07/28/2023,79.56
07/21/2023,75.59
07/14/2023,75.18
07/7/2023,71.81
06/30/2023,69.43
06/23/2023,70.43
06/16/2023,69.44
06/9/2023,71.58
06/2/2023,69.85
05/26/2023,72.75
05/19/2023,71.64
05/12/2023,72.07
05/5/2023,71.16
04/28/2023,76.33
04/21/2023,79.2
04/14/2023,81.84
04/7/2023,80.61
03/31/2023,73.8
03/24/2023,69.42
03/17/2023,69.77
03/10/2023,77.42
03/3/2023,77.65
02/24/2023,75.46
02/17/2023,78.52
02/10/2023,77.5
02/3/2023,76.49
01/27/2023,80.52
01/20/2023,80.33
01/13/2023,77.08
01/6/2023,74.3
12/30/2022,79.29
12/23/2022,77.32
12/16/2022,75.25
12/9/2022,73.13
12/2/2022,79.44
11/25/2022,78.73
11/18/2022,84.02
11/11/2022,88.39
11/4/2022,89.14
10/28/2022,86.96
10/21/2022,84.97
10/14/2022,88.49
10/7/2022,87.8
09/30/2022,79.62
09/23/2022,83.07
09/16/2022,86.76
09/9/2022,84.79
09/2/2022,90.34
08/26/2022,92.89
08/19/2022,89.06
08/12/2022,91.92
08/5/2022,91.3
07/29/2022,96.8
07/22/2022,100.03
07/15/2022,97.92
07/8/2022,101.39
07/1/2022,109.06
06/24/2022,107.18
06/17/2022,116.46
06/10/2022,120.44
06/3/2022,116.42
05/27/2022,111.91
05/20/2022,112.33
05/13/2022,105.04
05/6/2022,106.68
04/29/2022,102.46
04/22/2022,103.88
04/15/2022,101.52
04/8/2022,99.15
04/1/2022,103.51
03/25/2022,113.01
03/18/2022,100.43
03/11/2022,113.43
03/4/2022,106.62
02/25/2022,92.21
02/18/2022,92.8
02/11/2022,90.66
02/4/2022,89.44
01/28/2022,85.94
01/21/2022,86.11
01/14/2022,81.61
01/7/2022,77.86
12/31/2021,76.06
12/24/2021,71.48
12/17/2021,71.23
12/10/2021,71.3
12/3/2021,66.89
11/26/2021,77.88
11/19/2021,79.02
11/12/2021,81.96
11/5/2021,81.78
10/29/2021,83.49
10/22/2021,83.11
10/15/2021,81.04
10/8/2021,78.33
10/1/2021,75.3
09/24/2021,72.07
09/17/2021,71.62
09/10/2021,68.88
09/3/2021,69.12
08/27/2021,67.54
08/20/2021,65.07
08/13/2021,68.31
08/6/2021,69.47
07/30/2021,72.7
07/23/2021,69.62
07/16/2021,73.19
07/9/2021,73.27
07/2/2021,73.95
06/25/2021,73.43
06/18/2021,71.57
06/11/2021,70.09
06/4/2021,68.75
05/28/2021,66.3
05/21/2021,64.15
05/14/2021,65.09
05/7/2021,65.08
04/30/2021,63.46
04/23/2021,62.15
04/16/2021,61.92
04/9/2021,59.33
04/2/2021,60.68
03/26/2021,60
03/19/2021,63.24
03/12/2021,65.03
03/5/2021,62.32
02/26/2021,62.28
02/19/2021,60.24
02/12/2021,58.54
02/5/2021,55.42
01/29/2021,52.55
01/22/2021,52.91
01/15/2021,52.86
01/8/2021,50.25
01/1/2021,48.14
12/25/2020,47.78
12/18/2020,47.98
12/11/2020,46.05
12/4/2020,45.41
11/27/2020,44.56
11/20/2020,41.7
11/13/2020,40.87
11/6/2020,37.91
10/30/2020,37.5
10/23/2020,40.56
10/16/2020,40.5
10/9/2020,40.33
10/2/2020,39.18
09/25/2020,39.88
09/18/2020,39.56
09/11/2020,37.36
09/4/2020,41.6
08/28/2020,43.07
08/21/2020,42.73
08/14/2020,42.09
08/7/2020,41.61
07/31/2020,40.82
07/24/2020,41.41
07/17/2020,40.59
07/10/2020,40.46
07/3/2020,39.86
06/26/2020,39.21
06/19/2020,38.41
06/12/2020,37.87
06/5/2020,37.3
05/29/2020,34.09
05/22/2020,33
05/15/2020,26.44
05/8/2020,23.45
05/1/2020,15.76
04/24/2020,3.92
04/17/2020,20.11
04/10/2020,24.39
04/3/2020,22.91
03/27/2020,23.19
03/20/2020,24.73
03/13/2020,32.34
03/6/2020,45.58
02/28/2020,48.38
02/21/2020,52.91
02/14/2020,50.83
02/7/2020,50.35
01/31/2020,52.73
01/24/2020,56.22
01/17/2020,58.24
01/10/2020,60.84
01/3/2020,61.74
12/27/2019,61.26
12/20/2019,60.75
12/13/2019,59.25
12/6/2019,57.62
11/29/2019,57.56
11/22/2019,57.14
11/15/2019,57.05
11/8/2019,56.9
11/1/2019,55.36
10/25/2019,55.27
10/18/2019,53.49
10/11/2019,53.24
10/4/2019,53.12
09/27/2019,56.95
09/20/2019,59.31
09/13/2019,56.19
09/6/2019,55.62
08/30/2019,55.23
08/23/2019,55.55
08/16/2019,55.32
08/9/2019,53.29
08/2/2019,56.62
07/26/2019,56.22
07/19/2019,56.98
07/12/2019,59.27
07/5/2019,57.51
06/28/2019,58.6
06/21/2019,54.73
06/14/2019,52.49
06/7/2019,53
05/31/2019,57.33
05/24/2019,60.81
05/17/2019,62.09
05/10/2019,61.83
05/3/2019,62.95
04/26/2019,65.28
04/19/2019,63.84
04/12/2019,64.09
04/5/2019,62.36
03/29/2019,59.52
03/22/2019,59.39
03/15/2019,57.81
03/8/2019,56.42
03/1/2019,56.19
02/22/2019,56.56
02/15/2019,53.88
02/8/2019,53.52
02/1/2019,53.72
01/25/2019,53.16
01/18/2019,52.16
01/11/2019,50.97
01/4/2019,46.48
12/28/2018,44.24
12/21/2018,46.96
12/14/2018,51.52
12/7/2018,52.64
11/30/2018,51.17
11/23/2018,53.97
11/16/2018,56.96
11/9/2018,61.57
11/2/2018,65.07
10/26/2018,67.47
10/19/2018,70.24
10/12/2018,72.95
10/5/2018,75.12
09/28/2018,72.26
09/21/2018,70.29
09/14/2018,68.95
09/7/2018,68.78
08/31/2018,69.39
08/24/2018,67.64
08/17/2018,66.12
08/10/2018,67.91
08/3/2018,68.8
07/27/2018,68.8
07/20/2018,68.96
07/13/2018,71.94
07/6/2018,73.79
06/29/2018,71.79
06/22/2018,66.25
06/15/2018,66.21
06/8/2018,65.34
06/1/2018,67.13
05/25/2018,70.96
05/18/2018,71.31
05/11/2018,70.6
05/4/2018,68.38
04/27/2018,68.14
04/20/2018,67.58
04/13/2018,66.04
04/6/2018,63.1
03/30/2018,65.01
03/23/2018,64.16
03/16/2018,61.31
03/9/2018,61.7
03/2/2018,62.16
02/23/2018,62.32
02/16/2018,60.42
02/9/2018,61.94
02/2/2018,65.21
01/26/2018,65.04
01/19/2018,63.86
01/12/2018,63.27
01/5/2018,61.17
12/29/2017,59.97
12/22/2017,57.91
12/15/2017,57.21
12/8/2017,57.02
12/1/2017,57.83
11/24/2017,56.98
11/17/2017,55.9
11/10/2017,57.13
11/3/2017,54.6
10/27/2017,52.62
10/20/2017,51.71
10/13/2017,51.07
10/6/2017,50.21
09/29/2017,51.89
09/22/2017,50.2
09/15/2017,49.08
09/8/2017,48.6
09/1/2017,46.7
08/25/2017,47.74
08/18/2017,47.5
08/11/2017,49.11
08/4/2017,49.51
07/28/2017,48.35
07/21/2017,46.42
07/14/2017,45.51
