iter	Passed	Remaining
0	7	7300
1	12	6370
2	19	6550
3	26	6515
4	32	6545
5	39	6498
6	41	5842
7	48	5963
8	55	6089
9	61	6079
10	68	6148
11	75	6187
12	81	6203
13	88	6217
14	95	6251
15	102	6301
16	116	6731
17	123	6752
18	130	6739
19	137	6738
20	143	6705
21	149	6648
22	157	6672
23	164	6705
24	172	6721
25	179	6706
26	185	6690
27	192	6682
28	200	6714
29	206	6674
30	216	6760
31	222	6728
32	230	6743
33	238	6776
34	249	6871
35	255	6835
36	263	6860
37	271	6863
38	278	6864
39	285	6850
40	292	6850
41	300	6863
42	308	6856
43	316	6875
44	323	6873
45	331	6865
46	337	6851
47	346	6874
48	353	6864
49	362	6878
50	368	6862
51	376	6865
52	383	6845
53	391	6865
54	399	6862
55	408	6892
56	415	6870
57	421	6853
58	428	6841
59	435	6817
60	443	6821
61	449	6805
62	456	6786
63	462	6761
64	470	6771
65	480	6805
66	488	6807
67	495	6784
68	500	6749
69	509	6765
70	515	6749
71	524	6754
72	530	6738
73	537	6726
74	543	6706
75	549	6683
76	558	6690
77	564	6677
78	574	6692
79	580	6677
80	587	6668
81	594	6651
82	600	6631
83	606	6613
84	612	6596
85	620	6590
86	626	6573
87	632	6555
88	638	6538
89	644	6515
90	651	6504
91	658	6495
92	663	6474
93	671	6468
94	677	6453
95	683	6439
96	689	6418
97	695	6404
98	702	6396
99	709	6381
100	715	6369
101	722	6357
102	727	6338
103	735	6339
104	741	6320
105	748	6310
106	754	6293
107	760	6278
108	767	6276
109	773	6260
110	779	6244
111	787	6241
112	792	6218
113	799	6212
114	800	6158
115	809	6165
116	819	6182
117	825	6171
118	833	6171
119	838	6151
120	844	6135
121	852	6133
122	857	6116
123	865	6111
124	871	6100
125	878	6093
126	885	6084
127	891	6075
128	898	6065
129	909	6085
130	916	6081
131	921	6061
132	927	6047
133	934	6039
134	940	6025
135	947	6017
136	953	6003
137	959	5994
138	967	5990
139	972	5974
140	981	5978
141	989	5980
142	999	5992
143	1007	5990
144	1016	5995
145	1022	5980
146	1030	5980
147	1037	5969
148	1044	5967
149	1051	5959
150	1059	5958
151	1067	5955
152	1074	5948
153	1082	5949
154	1089	5938
155	1096	5934
156	1103	5922
157	1110	5915
158	1115	5898
159	1115	5858
160	1122	5847
161	1128	5837
162	1134	5827
163	1142	5824
164	1149	5817
165	1155	5806
166	1162	5797
167	1168	5787
168	1176	5784
169	1182	5773
170	1188	5762
171	1195	5755
172	1201	5743
173	1207	5733
174	1213	5719
175	1219	5709
176	1233	5735
177	1244	5749
